Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
123,6.6201877,0.016125625,67108864,F,F,,HS CAN,,75C,F,F,10,3A,61,23,06,00,13,00,,,
124,6.6209302,0.0007425,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
125,6.640163025,0.019232825,67108864,F,F,,HS CAN,,75C,F,F,21,00,04,04,08,24,AC,60,,,
126,6.65020655,0.010043525,67108864,F,F,,HS CAN,,75C,F,F,22,24,00,00,BC,FA,08,23,,,
127,6.660174325,0.009967775,67108864,F,F,,HS CAN,,75C,F,F,23,AB,00,33,00,00,B8,66,,,
128,6.6701261,0.009951775,67108864,F,F,,HS CAN,,75C,F,F,24,08,23,AA,C0,44,00,00,,,
129,6.680155875,0.010029775,67108864,F,F,,HS CAN,,75C,F,F,25,98,79,08,23,A9,00,54,,,
130,6.690110925,0.00995505,67108864,F,F,,HS CAN,,75C,F,F,26,00,00,98,3B,08,23,A9,,,
131,6.700145425,0.0100345,67108864,F,F,,HS CAN,,75C,F,F,27,00,63,00,00,6E,28,08,,,
132,6.71008895,0.009943525,67108864,F,F,,HS CAN,,75C,F,F,28,23,A6,C0,00,00,00,00,,,
133,6.7141155,0.00402655,67108864,F,F,,HS CAN,,754,F,F,02,21,24,00,00,00,00,00,,,
134,6.730058925,0.015943425,67108864,F,F,,HS CAN,,75C,F,F,10,0B,61,24,73,00,00,6B,,,
135,6.730799275,0.00074035,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
136,6.75007435,0.019275075,67108864,F,F,,HS CAN,,75C,F,F,21,D0,08,23,A6,A0,00,00,,,
137,6.75398865,0.0039143,67108864,F,F,,HS CAN,,754,F,F,02,21,E1,00,00,00,00,00,,,
138,6.770010325,0.016021675,67108864,F,F,,HS CAN,,75C,F,F,10,0A,61,E1,00,00,08,44,,,
139,6.770752425,0.0007421,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
140,6.7900233,0.019270875,67108864,F,F,,HS CAN,,75C,F,F,21,00,00,81,11,00,00,00,,,
